Div,HomeTeam,year,win
E0,Everton,2013,6
E0,Arsenal,2013,6
E0,Hull,2013,5
E0,Newcastle,2013,5
E0,Stoke,2013,4
E0,Southampton,2013,4
E0,Tottenham,2013,4
E0,Man United,2013,4
E0,Cardiff,2013,3
E0,Norwich,2013,3
E0,Crystal Palace,2013,3
E0,Swansea,2013,2
E0,West Brom,2013,2
E0,West Ham,2013,2
E0,Aston Villa,2013,2
E0,Fulham,2013,2
E0,Sunderland,2013,2
D1,Dortmund,2020,4
D1,Leverkusen,2020,4
D1,Bayern Munich,2020,3
D1,FC Koln,2020,3
D1,RB Leipzig,2020,2
D1,M'gladbach,2020,2
D1,Ein Frankfurt,2020,2
D1,Freiburg,2020,2
D1,Mainz,2020,1
D1,Schalke 04,2020,1
D1,Wolfsburg,2020,1
D1,Augsburg,2020,1
D1,Union Berlin,2020,1
D1,Hoffenheim,2020,1
D1,Fortuna Dusseldorf,2020,0
D1,Hertha,2020,0
D1,Paderborn,2020,0
D1,Werder Bremen,2020,0
D1,Bayern Munich,2019,15
D1,Dortmund,2019,11
D1,Ein Frankfurt,2019,8
D1,RB Leipzig,2019,8
D1,Wolfsburg,2019,8
D1,Leverkusen,2019,8
D1,M'gladbach,2019,8
D1,Augsburg,2019,8
D1,Freiburg,2019,7
D1,Hoffenheim,2019,8
D1,Fortuna Dusseldorf,2019,8
D1,Mainz,2019,8
D1,Werder Bremen,2019,6
D1,Schalke 04,2019,5
D1,Hertha,2019,5
D1,Union Berlin,2019,5
D1,Stuttgart,2019,3
D1,FC Koln,2019,3
D1,Hannover,2019,3
D1,Nurnberg,2019,1
D1,Paderborn,2019,2
D1,Dortmund,2018,13
D1,M'gladbach,2018,12
D1,Bayern Munich,2018,11
D1,RB Leipzig,2018,11
D1,Ein Frankfurt,2018,10
D1,Hoffenheim,2018,9
D1,Werder Bremen,2018,7
D1,Stuttgart,2018,8
D1,Freiburg,2018,7
D1,Leverkusen,2018,8
D1,Schalke 04,2018,8
D1,Mainz,2018,6
D1,Hertha,2018,5
D1,Hannover,2018,6
D1,Wolfsburg,2018,4
D1,Augsburg,2018,4
D1,Fortuna Dusseldorf,2018,4
D1,Hamburg,2018,3
D1,FC Koln,2018,2
D1,Nurnberg,2018,2
D1,Bayern Munich,2017,13
D1,Hoffenheim,2017,12
D1,Dortmund,2017,12
D1,RB Leipzig,2017,11
D1,Schalke 04,2017,9
D1,Freiburg,2017,8
D1,Hamburg,2017,9
D1,Hertha,2017,9
D1,M'gladbach,2017,8
D1,Leverkusen,2017,6
D1,Augsburg,2017,6
D1,Mainz,2017,7
D1,Wolfsburg,2017,6
D1,Werder Bremen,2017,7
D1,FC Koln,2017,6
D1,Ein Frankfurt,2017,4
D1,Stuttgart,2017,5
D1,Hannover,2017,4
D1,Darmstadt,2017,4
D1,Ingolstadt,2017,3
D1,Bayern Munich,2016,13
D1,Dortmund,2016,12
D1,M'gladbach,2016,11
